20:46:00+00:00, Lat: 39.293549, Lon: -76.577729, Alt: 27.0, Sats: 09
20:46:01+00:00, Lat: 39.293548, Lon: -76.577728, Alt: 27.0, Sats: 09
20:46:02+00:00, Lat: 39.293548, Lon: -76.577727, Alt: 27.1, Sats: 10
20:46:03+00:00, Lat: 39.293547, Lon: -76.577726, Alt: 27.2, Sats: 09
20:46:04+00:00, Lat: 39.293547, Lon: -76.577726, Alt: 27.2, Sats: 09
20:46:05+00:00, Lat: 39.293547, Lon: -76.577726, Alt: 27.3, Sats: 09
20:46:06+00:00, Lat: 39.293547, Lon: -76.577725, Alt: 27.3, Sats: 09
20:46:07+00:00, Lat: 39.293547, Lon: -76.577725, Alt: 27.3, Sats: 09
20:46:08+00:00, Lat: 39.293547, Lon: -76.577725, Alt: 27.3, Sats: 09
20:46:09+00:00, Lat: 39.293548, Lon: -76.577725, Alt: 27.2, Sats: 10
20:46:10+00:00, Lat: 39.293548, Lon: -76.577724, Alt: 27.1, Sats: 10
20:46:11+00:00, Lat: 39.293548, Lon: -76.577724, Alt: 26.9, Sats: 10
20:46:12+00:00, Lat: 39.293549, Lon: -76.577724, Alt: 26.8, Sats: 10
20:46:13+00:00, Lat: 39.293549, Lon: -76.577723, Alt: 26.7, Sats: 10
20:46:14+00:00, Lat: 39.293549, Lon: -76.577723, Alt: 26.6, Sats: 10
20:46:15+00:00, Lat: 39.293549, Lon: -76.577723, Alt: 26.5, Sats: 10
20:46:16+00:00, Lat: 39.293549, Lon: -76.577723, Alt: 26.5, Sats: 10
20:46:17+00:00, Lat: 39.293549, Lon: -76.577723, Alt: 26.5, Sats: 10
20:46:18+00:00, Lat: 39.293549, Lon: -76.577723, Alt: 26.6, Sats: 10
20:46:19+00:00, Lat: 39.293549, Lon: -76.577723, Alt: 26.8, Sats: 10
20:46:20+00:00, Lat: 39.293549, Lon: -76.577723, Alt: 26.9, Sats: 10
20:46:21+00:00, Lat: 39.293549, Lon: -76.577723, Alt: 27.0, Sats: 09
20:46:22+00:00, Lat: 39.293549, Lon: -76.577723, Alt: 27.1, Sats: 09
20:46:23+00:00, Lat: 39.293549, Lon: -76.577724, Alt: 27.1, Sats: 09
20:46:24+00:00, Lat: 39.293549, Lon: -76.577724, Alt: 27.0, Sats: 09
20:46:25+00:00, Lat: 39.293549, Lon: -76.577724, Alt: 27.1, Sats: 09
